block,task_id,family,n,comparator,budget,field,log_ratio,absolute_r_difference,rank_r,baseline_r,matched_seed_pairs
1,test_er_50_04,er,50,selected_regression,192,best_r,-0.0026022876906600842,-0.0009333333333333323,0.3567166666666666,0.35765,6
1,test_er_50_05,er,50,selected_regression,192,best_r,0.005128541690699849,0.0017333333333333274,0.33958333333333335,0.33785,6
1,test_er_50_06,er,50,selected_regression,192,best_r,-0.0009465736189869615,-0.0002833333333333299,0.3301,0.3303833333333333,6
1,test_er_50_07,er,50,selected_regression,192,best_r,0.002742736928637064,0.0009333333333333416,0.34850000000000003,0.34756666666666663,6
0,test_ba_100_00,ba,100,mse,192,best_r,0.017312624013143527,0.004500000000000004,0.2651791666666667,0.2606791666666667,6
0,test_ba_100_01,ba,100,mse,192,best_r,0.0093933472855875,0.0025000000000000113,0.269175,0.266675,6
0,test_ba_100_02,ba,100,mse,192,best_r,0.02369130998051811,0.005658333333333335,0.2430041666666667,0.23734583333333334,6
0,test_ba_100_03,ba,100,mse,192,best_r,0.019558431730000273,0.00471666666666667,0.2455291666666667,0.24081249999999998,6
0,test_ba_100_04,ba,100,mse,192,best_r,0.029863290545556018,0.007337500000000015,0.24991249999999998,0.24257499999999999,6
0,test_ba_100_05,ba,100,mse,192,best_r,0.01625514191733808,0.00409166666666666,0.25437499999999996,0.25028333333333336,6
0,test_ba_100_06,ba,100,mse,192,best_r,0.011040092490330307,0.002837500000000002,0.2598916666666667,0.25705416666666664,6
0,test_ba_100_07,ba,100,mse,192,best_r,0.03543896149805553,0.007795833333333331,0.22465416666666668,0.21685833333333335,6
0,test_ba_50_00,ba,50,mse,192,best_r,0.023627886791235453,0.00609999999999999,0.2627,0.2566,6
0,test_ba_50_01,ba,50,mse,192,best_r,0.010936793709006206,0.00313333333333334,0.2885333333333333,0.28539999999999993,6
0,test_ba_50_02,ba,50,mse,192,best_r,0.024137488959117326,0.006849999999999995,0.28635,0.2795,6
0,test_ba_50_03,ba,50,mse,192,best_r,0.051625601224428,0.01394999999999999,0.27704999999999996,0.2631,6
0,test_ba_50_04,ba,50,mse,192,best_r,0.029666998730294047,0.0077833333333333365,0.26761666666666667,0.2598333333333333,6
0,test_ba_50_05,ba,50,mse,192,best_r,0.028447185735464633,0.008199999999999994,0.2941666666666667,0.28596666666666665,6
0,test_ba_50_06,ba,50,mse,192,best_r,0.018678734775765083,0.005250000000000005,0.28373333333333334,0.27848333333333336,6
0,test_ba_50_07,ba,50,mse,192,best_r,0.016080567865610986,0.004383333333333322,0.27371666666666666,0.2693333333333333,6
0,test_er_100_00,er,100,mse,192,best_r,0.0033431599039297614,0.0010833333333333344,0.32590416666666666,0.32482083333333334,6
