block,task_id,family,n,method,model_seed,search_seed,budget,best_r,fresh_r
0,test_ba_100_02,ba,100,mse,23,303,192,0.2363,0.233546875
0,test_ba_100_02,ba,100,pool_random,-1,101,96,0.216325,0.210378125
0,test_ba_100_02,ba,100,pool_random,-1,101,192,0.223525,0.221275
0,test_ba_100_02,ba,100,pool_random,-1,202,96,0.21455,0.21341875
0,test_ba_100_02,ba,100,pool_random,-1,202,192,0.220125,0.220125
0,test_ba_100_02,ba,100,pool_random,-1,303,96,0.220525,0.221690625
0,test_ba_100_02,ba,100,pool_random,-1,303,192,0.224575,0.22303125
0,test_ba_100_02,ba,100,random,-1,101,96,0.213775,0.208325
0,test_ba_100_02,ba,100,random,-1,101,192,0.213775,0.208325
0,test_ba_100_02,ba,100,random,-1,202,96,0.21655,0.21578125
0,test_ba_100_02,ba,100,random,-1,202,192,0.21935,0.216084375
0,test_ba_100_02,ba,100,random,-1,303,96,0.212675,0.212675
0,test_ba_100_02,ba,100,random,-1,303,192,0.212675,0.212675
0,test_ba_100_02,ba,100,ranknet,17,101,96,0.2325,0.235515625
0,test_ba_100_02,ba,100,ranknet,17,101,192,0.2453,0.24446875
0,test_ba_100_02,ba,100,ranknet,17,202,96,0.225875,0.224946875
0,test_ba_100_02,ba,100,ranknet,17,202,192,0.23855,0.233640625
0,test_ba_100_02,ba,100,ranknet,17,303,96,0.23005,0.227
0,test_ba_100_02,ba,100,ranknet,17,303,192,0.237575,0.233403125
0,test_ba_100_02,ba,100,ranknet,23,101,96,0.236225,0.232540625
0,test_ba_100_02,ba,100,ranknet,23,101,192,0.251625,0.245434375
0,test_ba_100_02,ba,100,ranknet,23,202,96,0.233425,0.2314125
0,test_ba_100_02,ba,100,ranknet,23,202,192,0.243125,0.2376375
0,test_ba_100_02,ba,100,ranknet,23,303,96,0.230725,0.229178125
0,test_ba_100_02,ba,100,ranknet,23,303,192,0.24185,0.233534375
0,test_ba_100_03,ba,100,ea,-1,101,96,0.222525,0.21705625
0,test_ba_100_03,ba,100,ea,-1,101,192,0.229725,0.227253125
0,test_ba_100_03,ba,100,ea,-1,202,96,0.22135,0.21999375
0,test_ba_100_03,ba,100,ea,-1,202,192,0.2275,0.22408125
0,test_ba_100_03,ba,100,ea,-1,303,96,0.219625,0.215625
0,test_ba_100_03,ba,100,ea,-1,303,192,0.226725,0.21941875
0,test_ba_100_03,ba,100,global_log_mse,17,101,96,0.22985,0.227240625
0,test_ba_100_03,ba,100,global_log_mse,17,101,192,0.235875,0.23621875
0,test_ba_100_03,ba,100,global_log_mse,17,202,96,0.219375,0.217409375
0,test_ba_100_03,ba,100,global_log_mse,17,202,192,0.2385,0.233171875
0,test_ba_100_03,ba,100,global_log_mse,17,303,96,0.23205,0.2285125
0,test_ba_100_03,ba,100,global_log_mse,17,303,192,0.243925,0.234996875
0,test_ba_100_03,ba,100,global_log_mse,23,101,96,0.24095,0.238359375
0,test_ba_100_03,ba,100,global_log_mse,23,101,192,0.249625,0.244496875
0,test_ba_100_03,ba,100,global_log_mse,23,202,96,0.22425,0.21625
0,test_ba_100_03,ba,100,global_log_mse,23,202,192,0.235175,0.231525
0,test_ba_100_03,ba,100,global_log_mse,23,303,96,0.2215,0.223590625
0,test_ba_100_03,ba,100,global_log_mse,23,303,192,0.231575,0.226865625
0,test_ba_100_03,ba,100,global_mse,17,101,96,0.2326,0.231509375
0,test_ba_100_03,ba,100,global_mse,17,101,192,0.239225,0.238059375
0,test_ba_100_03,ba,100,global_mse,17,202,96,0.23085,0.22791875
0,test_ba_100_03,ba,100,global_mse,17,202,192,0.2394,0.2359375
0,test_ba_100_03,ba,100,global_mse,17,303,96,0.224325,0.225646875
0,test_ba_100_03,ba,100,global_mse,17,303,192,0.2353,0.232171875
0,test_ba_100_03,ba,100,global_mse,23,101,96,0.233825,0.2276125
0,test_ba_100_03,ba,100,global_mse,23,101,192,0.2372,0.233778125
0,test_ba_100_03,ba,100,global_mse,23,202,96,0.234775,0.22628125
0,test_ba_100_03,ba,100,global_mse,23,202,192,0.239125,0.234575
0,test_ba_100_03,ba,100,global_mse,23,303,96,0.22895,0.231709375
0,test_ba_100_03,ba,100,global_mse,23,303,192,0.23885,0.23416875
0,test_ba_100_03,ba,100,hillclimb,-1,101,96,0.234475,0.2274625
0,test_ba_100_03,ba,100,hillclimb,-1,101,192,0.24565,0.23743125
0,test_ba_100_03,ba,100,hillclimb,-1,202,96,0.236275,0.2278125
0,test_ba_100_03,ba,100,hillclimb,-1,202,192,0.246,0.2319
0,test_ba_100_03,ba,100,hillclimb,-1,303,96,0.228475,0.22471875
0,test_ba_100_03,ba,100,hillclimb,-1,303,192,0.237625,0.227746875
0,test_ba_100_03,ba,100,log_mse,17,101,96,0.231,0.226671875
0,test_ba_100_03,ba,100,log_mse,17,101,192,0.23835,0.23320625
0,test_ba_100_03,ba,100,log_mse,17,202,96,0.219775,0.218740625
0,test_ba_100_03,ba,100,log_mse,17,202,192,0.23455,0.22835625
0,test_ba_100_03,ba,100,log_mse,17,303,96,0.236275,0.234690625
0,test_ba_100_03,ba,100,log_mse,17,303,192,0.245525,0.241709375
0,test_ba_100_03,ba,100,log_mse,23,101,96,0.232775,0.228334375
0,test_ba_100_03,ba,100,log_mse,23,101,192,0.241,0.235378125
0,test_ba_100_03,ba,100,log_mse,23,202,96,0.2222,0.22028125
0,test_ba_100_03,ba,100,log_mse,23,202,192,0.238125,0.236878125
0,test_ba_100_03,ba,100,log_mse,23,303,96,0.2286,0.22184375
0,test_ba_100_03,ba,100,log_mse,23,303,192,0.23325,0.227159375
0,test_ba_100_03,ba,100,mse,17,101,96,0.2321,0.229196875
0,test_ba_100_03,ba,100,mse,17,101,192,0.241225,0.234334375
0,test_ba_100_03,ba,100,mse,17,202,96,0.22635,0.222825
0,test_ba_100_03,ba,100,mse,17,202,192,0.235225,0.23154375
0,test_ba_100_03,ba,100,mse,17,303,96,0.228275,0.2262
0,test_ba_100_03,ba,100,mse,17,303,192,0.245975,0.237671875
